Name,Country,Latitude,Longitude,Notes
Manuel Belgrano Space Center,Argentina,38.9628 S,61.715W,
Whaler's Way Orbital Launch Complex,Australia,34.934 S,135.6523 E,
Arnhem Space Center,Australia,12.378021 S,136.821402 E,
Alcantara Launch Site,Brazil,2.3160 S,44.3676 W,
Barreira do Inferno Launch Center,Brazil,5.86600 S,35.38300 W,
Churchill Rocket Research Range,Canada,58.73430 N,93.82030 W,
Jiuquan Launch Center,China,40.96056 N,100.29833 E,
Xichang Launch Center ,China,28.24646 N,102.02814 E,
Wenchang Launch Center,China,19.614492 N,110.951133 E,
Taiyuan Launch center ,China,38.849086 N,111.608497 E,
Eastern Coastal Spaceport ,China,36.72386 N,121.25476 E,Sea launch (IVO Haiyang port)
"Kourou, French Guiana",EU/France,5.23739 N,52.76950 W,
Satish Dhawan Space Center,India,13.73740 N,80.23510 E,
Vikram Sarabhai Space Center,India,8.5314 N,76.8690 E,
Stasiun Peluncuran Roket rocket luanch facility,Indonesia,7.646643 S,107.689018 E,
Imam Khomeini Space Center,Iran,35.234631 N,53.920941 E,
Shahroud Space Center,Iran,36.42000 N,55.02000 E,
Qom Space Center,Iran,34.65000 N,50.90000 E,
Palmachim Airbase ,Israel,31.88484 N,34.68020 E,
Broglio Space Center,Kenya (Italy),2.94080 S,40.21340 E,
Tanegashima Space Center/Yoshinobu Launch Complex,Japan,30.39096 N,130.96813 E,
Uchinoura Space Center,Japan,31.25186 N,131.07914 E,
Baikonur Cosmodrome/Space Center,Kazakhstan (Russia),45.95515 N,63.35028 E,
Sohae Satellite Launching Station,North Korea,39.660 N,124.705 E,
Tonghaie Satellite Launching Ground ,North Korea,40.85572 N,129.66587 E,
Naro Space Center ,South Korea,34.42585 N,127.52793 E,
Mahia Peninsula Launch Complex,New Zealand,39.26044 S,177.86431 E,
Andoya Space Center,Norway,69.29430 N,16.02070 E,
Somiani flight Test Range ,Pakistan,25.19242 N,66.74881 E,
Tilla Satellite Launch Center,Pakistan,33.39610 N,73.29608 E,
Punta Lobos Rocket Range ,Peru,12.50000 S,76.8000 W,
Vostochny Cosmodrome,Russia,51.883 N,128.333 E,
Plesetsk Cosmodrome,Russia,62.925556 N,40.577778 E,
Arniston Launch Facility ,South Africa,34.60265 S,20.30248 E,
El Arenosillo Experiment Center/Range,Spain,37.09687 N,6.73863 W,
Esrange Space Center,Sweden,67.89342 N,21.10429 E,
Cape Canaveral Space Force Station ,United States,28.46675 N,80.55852 W,
Vandenberg SFB,United States,34.77204 N,120.60124 W,
"SpaceX Starbase Spaceport, Boca Chica",United States,25.996 N,97.154 W,
