Facility Name,latitude,longitude,active
Al Sulayil,20.6965,45.6116,
ALCA VLS,-2.3177,-44.368,
ALT 577-1,34.9256,-99.26,
ALT RW17R/35L,34.6557,-99.2738,
Alxa Left Banner Launch Site,38.8397,105.6361,
AMR LP1,28.5,-80,
AND Athena,69.2943,16.0207,1
AND LC10,69.294,16.0185,
AND LC5,69.2944,16.0198,
AND LC9,69.2941,16.0188,
AND U3,69.2943,16.0207,1
Anhueng LP1,36.6048,126.2375,
Anhueng LP2,36.6422,125.6944,
Anhueng LP3,35.1355,125.9086,
Area 51 RW14/32,37.2375,115.802,
ASK t'Harde,52.3947,5.9232,
Audierne LP1,47.63,-4.05,
Audierne LP1,47.65,-4.15,
Baikonur Cosmodrome,45.9633,63.3058,
Balkash LC35,46.38,72.87,
Balkash LC35,46.38,72.87,
Balkash LC35,46.38,72.87,
Balkash LC6,46.38,72.87,
Barksdale AFB,32.5015,-93.6624,
BHOT,38.7523,105.6038,
BHOT,38.7577,105.6078,
BHOT,38.7582,105.6103,
BLA LP1,69.5,34.2,
Black Rock LP1,40.8704,119.1081,
Bloodhound 1,52.1413,-4.5711,
Bloodhound 2,52.1413,-4.5705,
CALEB,34,121,
CAZ,44.5397,-1.113,
CC LaC1,28.4859,-80.5446,
CC LC17,28.4472,-80.5649,
CC LC20,28.5119,-80.557,
CC LC36A,28.471,-80.5377,
CC LC36B,28.4681,-80.5411,
CC LC40,28.562,-80.5772,
CC LC41,28.5833,-80.5831,
CC PAFB/800,28.24,-80.6,
CC RW 31/13,28.4675,-80.5665,
CC RW 31/13,28.4675,-80.5665,
CC SLC17A,28.4472,-80.5649,
CC SLC17B,28.4458,-80.5656,
CC SLC20,28.5119,-80.557,
CC SLC36A,28.471,-80.5377,
CC SLC36B,28.4681,-80.5411,
CC SLC37B,28.5315,-80.565,
CC SLC40,28.562,-80.5772,
CC SLC41,28.5833,-80.5831,
CC LC43,28.5,-80.5,
CC LC43D,28.5,-80.5,
CC LC46,28.4583,-80.5272,
CC LC47,28.46,-80.53,
CCSP,28.6149,-80.6944,
CEL BE,44.255,-1.259,
CEL BESA,44.393,-1.245,
CEL BLB,44.362,-1.25,
CEL BP,44.372,-1.246,
CEL BS,44.282,-1.262,
CEL CE,44.45,-1.25,
CEL SUD,44.3,-1.263,
CEL ZLS,44.36,-1.7,
Celtic Sea,50.74,-11.12,
CERES Nemo,43.05,6.47,
CHAN IC3,21.3,86.6,
CHAN IC3 SEA,19.5,86.5,
CHAN IC4,20.7553,87.0884,
CHAN IC4/TEL,20.75,87.07,
CHAN ITR,21.3,86.6,
CHM PS,44.6,33.5,
CLBI MAN,-5.866,-35.383,
"Corn Ranch, Van Horn, Texas",31.2524,-104.4532,
CSG ELS,5.305,-52.8344,
Da Qaidam,37.7922,95.4302,
Da Qaidam,37.8919,95.2841,
Da Qaidam,37.9023,95.24,
Da Qaidam,37.9237,95.1748,
Da Qaidam,37.9388,95.2103,
Da Qaidam,37.9405,95.144,
Da Qaidam,37.9487,95.2887,
Da Qaidam,37.9669,95.1365,
Da Qaidam,38.0268,95.0413,
Da Qaidam,38.063,94.9878,
Da Qaidam,38.0782,94.559,
Da Qaidam,38.0857,94.9679,
Da Qaidam,38.0961,94.5877,
Da Qaidam,38.098,94.5255,
Da Qaidam,38.0997,94.5624,
Da Qaidam,38.11,94.948,
Da Qaidam,38.1207,94.4929,
Da Qaidam,38.1348,94.9295,
Da Qaidam,38.1383,94.4531,
Delingha,37.376,97.0558,
Delingha,37.4076,97.028,
Dengshahe LP1,39.1522,122.0805,
Dengshahe LP2,39.1514,122.083,
Dombarovsky Air Base,51.9525,59.9108,
DYESS,32.4208,-99.8547,
DZKW -,7.65,167.7,
EAFB,34.9,117.8,
EAFB RW04,34.896,117.9019,
EAFB RW04/22,34.9054,117.8837,
EAFB RW04L,34.9043,117.9018,
EAFB RW04L/22R,34.9112,117.8882,
EAFB RW05,34.9493,117.8612,
EAFB RW05,34.9661,117.8191,
EAFB RW06,34.8948,117.8814,
EAFB RW07,34.8406,117.8968,
EAFB RW15,34.97,117.8694,
EAFB RW18,34.9928,117.8748,
EAFB RW18/36,34.9626,117.86,
EAFB RW22,34.9324,117.8309,
EAFB RW22R,34.9185,117.8738,
EAFB RW24,34.9059,117.8202,
EAFB RW25,34.8474,117.8222,
EAFB RW30,34.9335,117.8479,
EAFB RW33,34.9029,117.8512,
EAFB RW36,34.9358,117.8715,
EAFB TL1,34.9527,117.6448,
EAFB TL2,34.9526,117.6461,
Elephant Butte,33.2,107,
Elephant Butte,33.2092,107.1015,
Elephant Butte,33.2306,107.1146,
Elephant Butte,33.31,107,
ELLS N2,44.8558,103.423,
ELLS RW13/31,44.1429,103.1008,
ESR C,67.8922,21.1042,
ESR L,67.8932,21.1065,
ESR LC1,67.8917,21.1057,
ESR LC1 A,67.8934,21.1045,
ESR LC3A,67.8774,21.1634,
ESR LC3B,67.8765,21.1668,
ESR LC3C,67.8763,21.1676,
ESR MAN,67.8932,21.1053,
ESR MRL,67.8932,21.106,
ESR MRL,67.8932,21.106,
ESR N,67.8933,21.109,
ESR N2,67.8933,21.1102,
ESR N2,67.8933,21.1102,
ESR S,67.8933,21.107,
ETR 200NM,26.5,-77.5,
ETR 500NM,23,-73.5,
ETR D4,28.5,-79,
ETR LP1,28.5,-79,
ETR LP5,28.5,-79,
ETR LP6,28.8,-76.3,
ETR SLBM,28.5,-80,
FTB MCG,32.0736,106.1524,
FW LC96,35.4487,108.5995,
GF RW17/35,47.953,-97.4081,
GIK-1 LC131,62.9,40.8,
GIK-1 LC131,62.9,40.8,
GIK-1 LC132,62.893,40.887,
GIK-1 LC132/1,62.893,40.887,
GIK-1 LC132/2,62.893,40.888,
GIK-1 LC133,62.895,40.867,
GIK-1 LC133/1,62.895,40.867,
GIK-1 LC133/3,62.895,40.868,
GIK-1 LC16/2,62.95,40.68,
GIK-1 LC24,62.92,40.58,
GIK-1 LC25,62.92,40.58,
GIK-1 LC25,62.92,40.58,
GIK-1 LC31/12,62.9,40.8,
GIK-1 LC32/1,62.915,40.8,
GIK-1 LC32/1,62.915,40.8,
GIK-1 LC32/2,62.915,40.801,
GIK-1 LC35,62.92,40.58,
GIK-1 LC35,62.92,40.58,
GIK-1 LC41/1,62.93,40.513,
GIK-1 LC43/3,62.93,40.45,
GIK-1 LC43/4,62.93,40.47,
GIK-1 LC5,62.92,40.58,
GIK-1 PU11,62.9,40.5,
GIK-2 LC5,51.7,128,
GIK-5 LC1,45.9203,63.3423,
GIK-5 LC108,46.046,63.815,
GIK-5 LC109,45.944,63.442,
GIK-5 LC109/95,45.944,63.442,
GIK-5 LC110L,45.955,63.309,
GIK-5 LC110R,45.95,63.314,
GIK-5 LC131,46.069,62.968,
GIK-5 LC131,46.069,62.968,
GIK-5 LC131,46.069,62.968,
GIK-5 LC131,46.069,62.968,
GIK-5 LC170,46,63,
GIK-5 LC170,46,63,
GIK-5 LC171,46,63,
GIK-5 LC171,46,63,
GIK-5 LC172,46.065,63.092,
GIK-5 LC172,46.065,63.092,
GIK-5 LC173,46,63,
GIK-5 LC173,46,63,
GIK-5 LC174,46,63,
GIK-5 LC174,46,63,
GIK-5 LC175,46.045,62.98,
GIK-5 LC175/2,46.045,62.98,
GIK-5 LC175/2,46.045,62.98,
GIK-5 LC175/2,46.045,62.98,
GIK-5 LC175/59,46.045,62.98,
GIK-5 LC175/59,46.045,62.98,
GIK-5 LC176,46,63,
GIK-5 LC176,46,63,
GIK-5 LC177,46,63,
GIK-5 LC177,46,63,
GIK-5 LC179,46,63,
GIK-5 LC179,46,63,
GIK-5 LC181,46,63,
GIK-5 LC181,46,63,
GIK-5 LC200/39,46.035,63.037,
GIK-5 LC200/40,46.031,63.044,
GIK-5 LC250,45.995,63.309,
GIK-5 LC31,45.996,63.5641,
GIK-5 LC44,45.926,63.622,
GIK-5 LC45/1,45.926,63.622,
GIK-5 LC45/2,45.93,63.627,
GIK-5 LC81/23,46.059,62.983,
GIK-5 LC81/24,46.067,62.99,
GIK-5 LC90,46.081,62.935,
GIK-5 LC90/19,46.081,62.935,
GIK-5 LC90/20,46.081,62.936,
GIK-5 PL251,46.029,63.324,
GIK-5 PU31,46,63,
GIK-5 PU32,46,63,
GIK-5 PU33,46,63,
GMS60AM9002,36.7,175.7,
GMS60AM9003,26,169.4,
GMS60AM9004,23.1,167,
GMS60AM9005,20.5,163.4,
GMS60AM9006,18.1,160.1,
GMS60AM9007,16.1,157.2,
GMS60AM9008,14.4,155.2,
GMS60AM9009,13.9,154.4,
